2024-03-23 17:32:54,205 INFO    StreamThr :1169695 [internal.py:wandb_internal():89] W&B internal server running at pid: 1169695, started at: 2024-03-23 17:32:54.203787
2024-03-23 17:32:54,209 DEBUG   HandlerThread:1169695 [handler.py:handle_request():146] handle_request: status
2024-03-23 17:32:54,213 INFO    WriterThread:1169695 [datastore.py:open_for_write():87] open: /storage/user/hank/methods_test/NeO-360/wandb/offline-run-20240323_173254-9drfu6gs/run-9drfu6gs.wandb
2024-03-23 17:32:54,282 DEBUG   HandlerThread:1169695 [handler.py:handle_request():146] handle_request: run_start
2024-03-23 17:32:54,314 DEBUG   HandlerThread:1169695 [system_info.py:__init__():27] System info init
2024-03-23 17:32:54,314 DEBUG   HandlerThread:1169695 [system_info.py:__init__():42] System info init done
2024-03-23 17:32:54,314 INFO    HandlerThread:1169695 [system_monitor.py:start():194] Starting system monitor
2024-03-23 17:32:54,315 INFO    SystemMonitor:1169695 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-23 17:32:54,315 INFO    HandlerThread:1169695 [system_monitor.py:probe():214] Collecting system info
2024-03-23 17:32:54,316 INFO    SystemMonitor:1169695 [interfaces.py:start():190] Started cpu monitoring
2024-03-23 17:32:54,317 INFO    SystemMonitor:1169695 [interfaces.py:start():190] Started disk monitoring
2024-03-23 17:32:54,318 INFO    SystemMonitor:1169695 [interfaces.py:start():190] Started gpu monitoring
2024-03-23 17:32:54,322 INFO    SystemMonitor:1169695 [interfaces.py:start():190] Started memory monitoring
2024-03-23 17:32:54,324 INFO    SystemMonitor:1169695 [interfaces.py:start():190] Started network monitoring
2024-03-23 17:32:54,364 DEBUG   HandlerThread:1169695 [system_info.py:probe():151] Probing system
2024-03-23 17:32:54,372 DEBUG   HandlerThread:1169695 [system_info.py:_probe_git():136] Probing git
2024-03-23 17:32:54,392 DEBUG   HandlerThread:1169695 [system_info.py:_probe_git():144] Probing git done
2024-03-23 17:32:54,392 DEBUG   HandlerThread:1169695 [system_info.py:probe():199] Probing system done
