2024-03-21 11:30:15,102 INFO    StreamThr :69425 [internal.py:wandb_internal():89] W&B internal server running at pid: 69425, started at: 2024-03-21 11:30:15.088588
2024-03-21 11:30:15,107 DEBUG   HandlerThread:69425 [handler.py:handle_request():146] handle_request: status
2024-03-21 11:30:15,111 INFO    WriterThread:69425 [datastore.py:open_for_write():87] open: /storage/user/hank/methods_test/NeO-360/wandb/offline-run-20240321_113014-5dp059jr/run-5dp059jr.wandb
2024-03-21 11:30:15,181 DEBUG   HandlerThread:69425 [handler.py:handle_request():146] handle_request: run_start
2024-03-21 11:30:15,209 DEBUG   HandlerThread:69425 [system_info.py:__init__():27] System info init
2024-03-21 11:30:15,209 DEBUG   HandlerThread:69425 [system_info.py:__init__():42] System info init done
2024-03-21 11:30:15,209 INFO    HandlerThread:69425 [system_monitor.py:start():194] Starting system monitor
2024-03-21 11:30:15,211 INFO    SystemMonitor:69425 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-21 11:30:15,211 INFO    HandlerThread:69425 [system_monitor.py:probe():214] Collecting system info
2024-03-21 11:30:15,215 INFO    SystemMonitor:69425 [interfaces.py:start():190] Started cpu monitoring
2024-03-21 11:30:15,232 INFO    SystemMonitor:69425 [interfaces.py:start():190] Started disk monitoring
2024-03-21 11:30:15,239 INFO    SystemMonitor:69425 [interfaces.py:start():190] Started gpu monitoring
2024-03-21 11:30:15,240 INFO    SystemMonitor:69425 [interfaces.py:start():190] Started memory monitoring
2024-03-21 11:30:15,241 INFO    SystemMonitor:69425 [interfaces.py:start():190] Started network monitoring
2024-03-21 11:30:15,256 DEBUG   HandlerThread:69425 [system_info.py:probe():151] Probing system
2024-03-21 11:30:15,266 DEBUG   HandlerThread:69425 [system_info.py:_probe_git():136] Probing git
2024-03-21 11:30:15,290 DEBUG   HandlerThread:69425 [system_info.py:_probe_git():144] Probing git done
2024-03-21 11:30:15,291 DEBUG   HandlerThread:69425 [system_info.py:probe():199] Probing system done
